id,sentence1,sentence2,paraphrase_type_ids,sentence1_segment_location,sentence2_segment_location,sentence1_tokenized,sentence2_tokenized
890c8ff8-1b12-41ad-99d0-8494d45ac2d1,"It ended a diplomatic drought between the two nations, at odds for months over North Korea's nuclear program and American demands that it cease.","The contact between the delegations ended a diplomatic drought between the two nations, at odds over the nuclear program and U.S. demands that it cease immediately.","[6, 6, 6, 25, 25, 29]","[6, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 6, 6, 6, 6, 6, 25, 6, 25, 25, 25, 25, 25]","[6, 6, 6, 6, 6, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 6, 6, 6, 25, 6, 25, 25, 25, 25, 25, 25]","['It', 'ended', 'a', 'diplomatic', 'drought', 'between', 'the', 'two', 'nations', ',', 'at', 'odds', 'for', 'months', 'over', 'North', 'Korea', ""'s"", 'nuclear', 'program', 'and', 'American', 'demands', 'that', 'it', 'cease', '.']","['The', 'contact', 'between', 'the', 'delegations', 'ended', 'a', 'diplomatic', 'drought', 'between', 'the', 'two', 'nations', ',', 'at', 'odds', 'over', 'the', 'nuclear', 'program', 'and', 'U.S.', 'demands', 'that', 'it', 'cease', 'immediately', '.\n']"
6584b044-31c6-4472-ab68-5cd499648641,"And ""although the preconditions for recovery remain in place,"" it said the prospects for British exports were ""weaker than previously expected.""","""Although the preconditions for recovery remain in place, the prospect for external demand for UK output is weaker than previously expected.""","[1, 1, 25, 25, 29, 28]","[25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 25, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 1, 0, 25, 25, 25, 25, 25, 1, 25, 25, 25, 25, 25, 25]","['And', '``', 'although', 'the', 'preconditions', 'for', 'recovery', 'remain', 'in', 'place', ',', ""''"", 'it', 'said', 'the', 'prospects', 'for', 'British', 'exports', 'were', '``', 'weaker', 'than', 'previously', 'expected', '.', ""''""]","['``', 'Although', 'the', 'preconditions', 'for', 'recovery', 'remain', 'in', 'place', ',', 'the', 'prospect', 'for', 'external', 'demand', 'for', 'UK', 'output', 'is', 'weaker', 'than', 'previously', 'expected', '.', ""''\n""]"
8443c3c5-f265-4af0-8c18-d9d5f6509884,"Senate passage of the Medicare bill was almost certain, possibly as early as today.",Senate passage of the Medicare bill is almost certain Monday.,"[1, 29, 30]","[29, 29, 29, 29, 29, 29, 1, 29, 29, 30, 30, 30, 30, 30, 30, 29]","[29, 29, 29, 29, 29, 29, 1, 29, 29, 30, 29]","['Senate', 'passage', 'of', 'the', 'Medicare', 'bill', 'was', 'almost', 'certain', ',', 'possibly', 'as', 'early', 'as', 'today', '.']","['Senate', 'passage', 'of', 'the', 'Medicare', 'bill', 'is', 'almost', 'certain', 'Monday', '.\n']"
45391af2-89a6-4203-bb76-6b524b767c1e,"On Friday, the Concorde started up around sunrise and seemed to launch itself straight out of the rising sun.","Yesterday, the Concorde seemed to launch itself straight out of the rising sun.","[25, 29, 30]","[0, 0, 29, 29, 29, 25, 25, 25, 25, 0, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 0]","[29, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25]","['On', 'Friday', ',', 'the', 'Concorde', 'started', 'up', 'around', 'sunrise', 'and', 'seemed', 'to', 'launch', 'itself', 'straight', 'out', 'of', 'the', 'rising', 'sun', '.']","['Yesterday', ',', 'the', 'Concorde', 'seemed', 'to', 'launch', 'itself', 'straight', 'out', 'of', 'the', 'rising', 'sun', '.\n']"
d2198fb2-98d1-48b2-980c-9aa0fc3b8b65,This is just the latest movement in a continuing trend towards open source support of business applications.,This is just the latest movement in a continuing trend toward open-source support among business application vendors.,"[4, 6, 25, 29]","[25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 4, 4, 25, 6, 25, 25, 25]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 6, 0, 0, 25, 0]","['This', 'is', 'just', 'the', 'latest', 'movement', 'in', 'a', 'continuing', 'trend', 'towards', 'open', 'source', 'support', 'of', 'business', 'applications', '.']","['This', 'is', 'just', 'the', 'latest', 'movement', 'in', 'a', 'continuing', 'trend', 'toward', 'open-source', 'support', 'among', 'business', 'application', 'vendors', '.\n']"
aa23880d-57b4-496c-8e6d-76f767e3f15d,He found that men who had ejaculated more than five times a week in their 20s were a third less likely to develop aggressive prostate cancer later in life.,Those who ejaculated more than five times a week were a third less likely to develop serious prostate cancer in later life.,"[6, 6, 1, 26, 25, 25, 29]","[0, 0, 0, 6, 0, 1, 1, 0, 0, 0, 0, 0, 0, 25, 25, 25, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 26, 0, 0, 0]","[6, 25, 1, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 6, 25, 25, 25, 26, 25, 25]","['He', 'found', 'that', 'men', 'who', 'had', 'ejaculated', 'more', 'than', 'five', 'times', 'a', 'week', 'in', 'their', '20s', 'were', 'a', 'third', 'less', 'likely', 'to', 'develop', 'aggressive', 'prostate', 'cancer', 'later', 'in', 'life', '.']","['Those', 'who', 'ejaculated', 'more', 'than', 'five', 'times', 'a', 'week', 'were', 'a', 'third', 'less', 'likely', 'to', 'develop', 'serious', 'prostate', 'cancer', 'in', 'later', 'life', '.\n']"
5b4f6bf4-6bdd-4677-bae1-6b595571c930,The legislation opens the way for police and other personnel to be deployed to the Solomons and to carry out law enforcement functions.,"""Once the legislation enters into force, it opens the way for police and other personnel to be deployed to Solomon Islands and to carry out law-enforcement functions.","[4, 6, 6, 25, 29, 21]","[29, 29, 29, 29, 29, 25, 25, 25, 25, 25, 25, 25, 25, 25, 6, 6, 25, 25, 25, 25, 4, 4, 25, 25]","[0, 25, 25, 25, 25, 25, 25, 25, 6, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 6, 6, 29, 29, 29, 29, 4, 29, 29]","['The', 'legislation', 'opens', 'the', 'way', 'for', 'police', 'and', 'other', 'personnel', 'to', 'be', 'deployed', 'to', 'the', 'Solomons', 'and', 'to', 'carry', 'out', 'law', 'enforcement', 'functions', '.']","['``', 'Once', 'the', 'legislation', 'enters', 'into', 'force', ',', 'it', 'opens', 'the', 'way', 'for', 'police', 'and', 'other', 'personnel', 'to', 'be', 'deployed', 'to', 'Solomon', 'Islands', 'and', 'to', 'carry', 'out', 'law-enforcement', 'functions', '.\n']"
b3c431b0-f0ef-4887-a39d-2a0a06e07896,The company claims it's the largest single Apple VAR Xserve sale to date.,The company claimed it is the largest sale of Xserves by an Apple retailer.,"[4, 11, 1, 1, 26, 25, 25, 25, 25, 29]","[0, 0, 1, 4, 4, 0, 0, 25, 26, 0, 1, 11, 25, 25, 0]","[25, 25, 1, 4, 4, 25, 25, 11, 11, 1, 0, 0, 26, 25, 25]","['The', 'company', 'claims', 'it', ""'s"", 'the', 'largest', 'single', 'Apple', 'VAR', 'Xserve', 'sale', 'to', 'date', '.']","['The', 'company', 'claimed', 'it', 'is', 'the', 'largest', 'sale', 'of', 'Xserves', 'by', 'an', 'Apple', 'retailer', '.\n']"
a2dcbf00-93c8-4cf2-94ad-1d52092eaee3,"""We're a quiet, peaceful town of 862 people and nothing ever happens,"" said Carolyn Greene Bennett, Cedar Grove's town recorder.","""We're a quiet, peaceful town of 862 people and nothing ever happens,"" Bennett said.","[6, 26, 25, 29]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 6, 6, 6, 25, 25, 25, 25, 25, 25, 0]","[25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 6, 26, 25]","['``', 'We', ""'re"", 'a', 'quiet', ',', 'peaceful', 'town', 'of', '862', 'people', 'and', 'nothing', 'ever', 'happens', ',', ""''"", 'said', 'Carolyn', 'Greene', 'Bennett', ',', 'Cedar', 'Grove', ""'s"", 'town', 'recorder', '.']","['``', 'We', ""'re"", 'a', 'quiet', ',', 'peaceful', 'town', 'of', '862', 'people', 'and', 'nothing', 'ever', 'happens', ',', ""''"", 'Bennett', 'said', '.\n']"
75880bb7-abdc-46f4-96ce-73c517d82d28,"This integrates with Rational PurifyPlus and allows developers to work in supported versions of Java, Visual C# and Visual Basic .NET.","IBM said the Rational products were also integrated with Rational PurifyPlus, which allows developers to work in Java, Visual C# and VisualBasic .Net.","[4, 6, 1, 18, 25, 25, 25, 29]","[6, 1, 25, 25, 25, 18, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 4, 4, 4, 25]","[25, 25, 6, 6, 6, 1, 25, 1, 0, 0, 0, 18, 18, 18, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 0]","['This', 'integrates', 'with', 'Rational', 'PurifyPlus', 'and', 'allows', 'developers', 'to', 'work', 'in', 'supported', 'versions', 'of', 'Java', ',', 'Visual', 'C', '#', 'and', 'Visual', 'Basic', '.NET', '.']","['IBM', 'said', 'the', 'Rational', 'products', 'were', 'also', 'integrated', 'with', 'Rational', 'PurifyPlus', ',', 'which', 'allows', 'developers', 'to', 'work', 'in', 'Java', ',', 'Visual', 'C', '#', 'and', 'VisualBasic', '.Net', '.\n']"
