id,sentence,sentiment
9b15458c-1525-445e-92f7-653b40b5075e,The drama is played out with such aching beauty and truth that it brings tears to your eyes .,4
053849bf-3e34-41e7-99ff-f25644a24db0,"It 's hard to care about a film that proposes as epic tragedy the plight of a callow rich boy who is forced to choose between his beautiful , self-satisfied 22-year-old girlfriend and an equally beautiful , self-satisfied 18-year-old mistress .",1
5ddd2560-c16b-42ed-8e9f-38bf04ae422b,"The entire point of a shaggy dog story , of course , is that it goes nowhere , and this is classic nowheresville in every sense .",1
74065550-f1f3-4924-aaa3-f50548629bb0,The sort of movie that gives tastelessness a bad rap .,0
bc516e7c-ab1a-4f1f-bc12-861cef164db9,Criminal conspiracies and true romances move so easily across racial and cultural lines in the film that it makes My Big Fat Greek Wedding look like an apartheid drama .,3
8e75a4cb-7d98-4c3a-9db0-fd6bcb6c1e6c,Great over-the-top moviemaking if you 're in a slap-happy mood .,4
328fda28-8f83-4ade-881b-d81092133fb6,"The crime matters less than the characters , although the filmmakers supply enough complications , close calls and double-crosses to satisfy us .",2
39cfecc4-6dca-48e9-8f2b-bbeca80bf8c4,Everything that was right about Blade is wrong in its sequel .,1
5866ca5d-1816-4827-af52-7eb133513cea,"Despite Auteuil 's performance , it 's a rather listless amble down the middle of the road , where the thematic ironies are too obvious and the sexual politics too smug .",1
60024d85-95d7-4232-b2c5-0a5ee78039a8,"Passions , obsessions , and loneliest dark spots are pushed to their most virtuous limits , lending the narrative an unusually surreal tone .",3
142a593d-f3a5-45fd-aa46-fd494242fb90,Tries to work in the same vein as the brilliance of Animal House but instead comes closer to the failure of the third Revenge of the Nerds sequel .,0
2602c21a-22a9-4a6f-bba4-77d75873ae32,One from the heart .,3
e26420d8-23e7-4df8-8194-1e3e861335ef,Thoroughly enjoyable .,3
b8a95849-cbc6-49c2-a584-96d1dda3a256,"Filled with honest performances and exceptional detail , Baran is a gentle film with dramatic punch , a haunting ode to humanity .",4
255c1675-0566-4c7f-a30b-3d63a4bd9957,cynical and serious look at teenage boys doing what they do best - being teenagers .,2
242ee3f6-1257-4a50-88c7-c6590712808a,"This is a nervy , risky film , and Villeneuve has inspired Croze to give herself over completely to the tormented persona of Bibi .",2
81176792-5e51-4a82-ab7a-c305e3238a05,Possibly the most irresponsible picture ever released by a major film studio .,1
5f66600d-6321-463f-b00b-9d1ffb9a78a4,"If you 're looking for comedy to be served up , better look elsewhere .",0
5e932b0e-a701-4e7c-9310-175ae8697560,"A dark , dull thriller with a parting shot that misfires .",2
00d0380e-fb26-4a18-b35c-3a385cd2ffdf,"Its scenes and sensibility are all more than familiar , but it exudes a kind of nostalgic spy-movie charm and , at the same time , is so fresh and free of the usual thriller nonsense that it all seems to be happening for the first time .",3
4faa0dc0-af2a-49db-94d4-47ad4a02d835,"Harsh , effective documentary on life in the Israeli-occupied Palestinian territories .",3
5421f23e-7c88-460c-8805-3227063eb608,"With an unusual protagonist ( a kilt-wearing Jackson ) and subject matter , the improbable `` Formula 51 '' is somewhat entertaining , but it could have been much stronger .",3
43c3b3d6-e609-47c7-9774-ab5b2d0848b8,This movie ... does n't deserve the energy it takes to describe how bad it is .,1
8ecbfa69-2e74-4d6b-9579-3657bd022aa3,"Average , at best , I 'm afraid .",1
ebfd581f-d7a9-4885-b4d2-5bf551faa0ab,Woody Allen can write and deliver a one liner as well as anybody .,4
052e678e-3596-4926-b455-71ae72a52b14,You 'll probably love it .,4
a7fc0602-05f0-4608-b347-f447dcd64749,A mess when it comes to the characters and writing ... but works its way underneath the skin like few movies have in recent memory .,2
90b00a62-b789-4fbf-bf52-f0b02d30f3a1,Offers that rare combination of entertainment and education .,4
ef366e4b-3638-44f2-8360-b3aa8e479315,"A playful Iranian parable about openness , particularly the need for people of diverse political perspectives to get along despite their ideological differences .",3
1a8ccd24-b756-4f2a-8c67-5a25b87c3940,"I found it slow , predictable and not very amusing .",0
199c0dd6-8622-4f0c-afa0-22dafe2988dd,"Interesting , but not compelling .",2
b583228e-7d9d-4317-8e65-9f22bce10114,There 's not one decent performance from the cast and not one clever line of dialogue .,0
