id,sentence1,sentence2,similarity
9f5fae78-8a5a-446b-bc41-574841040ffc,Flash floods kill 58 in eastern Afghanistan,Bomb wounds 16 in eastern Afghanistan,0.8
4ac8dcd3-7b3c-4149-97fc-e946b40e24fc,The man is smashing garlic.,A man is smashing some garlic.,5.0
236de6ae-54dd-4d3c-8e11-146d523013b4,The woman is sitting on the red motorcycle.,The white sheep is standing on the green hill.,0.0
c0efcb2c-bffe-4013-951a-bfd528b5dadc,"You can use it, too.","Yes, you can do it.",3.0
97c2aceb-0a95-404d-a5fa-09319ecbb789,More expensive homes.,More expensive cars.,1.2
dd0726c1-96d0-4709-8e5c-9ad7824ee882,Ryanair reports record profits but warns growth likely to slow this year,Stansted: Ryanair reports 13% rise in annual profits but warns of slower growth this year,3.4
a98b5f78-af47-44e7-b324-6bdb2cd256f8,Eurozone jobless hits fresh record high,EU jobless hits fresh record,4.4
76fc7360-b71c-4b9a-8386-84280a55d411,A dog runs through the grass.,Two dogs run through the brush.,2.8
492b520e-1212-410c-b151-2451f5ae2848,Car bombing kills 17 in Pakistan,Suicide bomber kills 10 in Pakistan,2.6
96497263-60ea-4629-8647-25b4ac3d1752,"A dog in a ""superman"" shirt sleeps on a blanket.",A brown dog in a Superman shirt is laying on a blue blanket.,4.0
f236798a-86e2-4ffe-a6e7-dda5109d96a4,A white sheep on a hillside looking at the camera.,The skinny cows are standing on the grass.,1.2
5c2573ef-9459-4eaf-aed8-59efb526e532,The man is singing and playing the guitar.,A man is playing a guitar.,3.0
f4dfbc16-0fe4-47df-baaf-efe79fad62d1,The committee was appointed by Defense Secretary Donald Rumsfeld under orders from Congress.,The public hearing is the second for the panel created by Defense Secretary Donald Rumsfeld under pressure from Congress.,2.6
818cef67-180e-402d-9864-d6ee2560f5c7,6.0-magnitude quake hits northern Italy: USGS,"5.9-magnitude quake hits Sunda Strait, Indonesia: USGS",1.6
221e7840-5ac6-4761-afac-b6cc778ee371,DPRK leader calls for better ties with S.Korea,North Korea urges foreigners to leave South Korea,0.4
242f3adc-6620-4124-86c4-f24d09376d57,Barrick in talks with China firm over African assets,Obama aide holds talks in China after Syria veto,1.2
467af602-7c8f-4caf-a334-d9fdb1f1a979,Someone is greasing a pan.,Smeone is laying down.,0.4
297dad08-9ae8-4544-8686-db3e2c09b254,"In addition to oil, make sure the grill is nice and hot before you start cooking.","I'd been using paper towels to oil the grill, and I just discovered that newspapers work a lot better.",1.6
e728ad02-9f6d-4032-9848-327b642c41ae,"For what it's worth, dirt on the lens might not be as detrimental as you would think.","Regular dish washing fluid is great for removing grease, as it not only dissolves it but also binds it.",0.4
e8bebc43-aae1-40e8-9c70-b8b400c561b9,Who will succeed Mr. O'Neill at Hyundai is not clear.,There is no clear successor for Mr. O'Neill at Hyundai.,5.0
dd1a18d1-429c-462f-a50b-3633d40510f8,A young girl with glasses sits and holds two American flags.,A girl in glasses is looking over two American flags near a wooded area.,2.6
8be92b6b-1868-4e1f-91d4-614c173c23db,A small white dog and large brown dog play on the grass.,A small light tan dog is running past a large brown dog standing in the grass.,3.4
4e960ecd-1728-4f75-adcc-7fa15724a631,"Egypt announces arrest of 1,004 Muslim Brotherhood supporters",Egypt orders arrest of Brotherhood chief Badie,1.8
d2fa1d89-782f-4011-a749-4b3591b5a493,The small dog is wearing a sweater and looking up at the camera.,A small white dog wearing a jacket looks up at the camera.,4.0
53573533-8655-4791-ac7b-0e0a2215683a,helmand province is the world's largest opium-producing region.,helmand province is the world's largest producer of opium.,5.0
7534349d-e971-477f-bf42-2f7f30309364,Ukrainian weightlifter gets four-year doping ban,Ukraine's Korobka gets four-year doping ban,4.2
32022b73-99e9-422a-be0f-888635144440,A boat sails along the water.,The man is playing the guitar.,0.0
eaa972cb-7caa-42d0-84f8-fb838df97912,7 police officers were killed and 4 officers were wounded.,during the clash 7 seven police officers were killed and 4 seriously wounded.,4.6
4b24e1c8-223a-4f15-b1d3-ea2990fb4425,Dr. Neander's revised version.,"Neander's revised version""?",4.0
4933eb1e-8c31-4bfc-8abd-60b38862c586,Similar bills passed the House twice but died in the Senate.,"Two years ago, the House passed a similar version that floundered in the Senate.",2.75
63a98cb4-b8f2-4ae3-a51d-ef5dde67ddb7,Trial Date Set for Egypt's Muslim Brotherhood Chief,Syria's Muslim Brotherhood faces uphill battle,2.2
0bbb9ad9-8e0d-421b-8202-48e68644d057,French forces attack al-Qaeda's Mali allies,A battle to retake north Mali: Hundreds of French troops drive back al-Qaida-linked rebels,2.6
6e2a4547-e83b-43e0-97de-15e2bba9febe,"Although obesity can increase the risk of health problems, skeptics argue, so do smoking and high cholesterol.","Although obesity can increase the risk of a host of health problems, skeptics argue, so do smoking and high cholesterol, which are not considered diseases.",4.25
aa8df670-a771-4823-89c9-9fe2869fd8b5,26 Palestinian prisoners released from Israeli prison,"Palestinian prisoner dies of cancer, unrest in Israel jails",1.0
19327730-7099-49d3-8a3a-e0cd87a3caef,We have two parallel worlds in collision or maybe more.,Our intrepid heroes also didn't pursue the child who was in the spacesuit.,0.0
83a9cabf-250a-4ff1-8480-bb7a0a7592c2,korobeynichev's laboratory worked with the u.s. lawrence livermore national laboratory.,korobeynichev's laboratory worked with other scientific institutes.,3.2
38e2cd76-241e-4eb9-b594-ca4249437391,A man with a messenger bag in front of a gray tile wall.,Man in red jacket standing in front of lighthouse.,0.8
8d382a7c-85d6-44ea-8eb1-21de7d585a08,The kids are at the theater watching a movie.,it is picture day for the boys,0.2
f81e7583-5280-4a5c-bdd5-381bf8ea59d0,A bird eating from a bird feeder.,A yellow bird eating fruit on a bird feeder.,3.2
835eb011-12a7-4e14-9a63-79be655a4614,Supreme Court to Hear Voting Rights Act Case,Supreme Court to hear corporate human rights case,1.4
4d64a44c-99db-4ba5-b641-62c591a77e7e,"The rate of skin cancer has tripled since the 1950s in Norway and Sweden, according to the study.",The study also found that skin cancer nearly tripled in Norway and Sweden since the 1950s.,4.75
d59220e2-5a96-41f2-9b06-3bf2f5e94bff,"If so, state that is why they're not true.","Please, what about them are not true.",3.2
0ce5d5a5-9620-495f-b4b6-ff96e9f7b1dd,A young boy riding a bike on a brick road,A person does tricks on a bike on a ramp surrounded by trees.,2.2
5275101c-61db-43cd-9431-6235607b270e,A girl in a pink dress rides her bike along a white picket fence.,A girl in a red dress rides her bike in front of a white fence.,4.0
8c32ba1f-7ff1-4930-8c9e-01628ea6c668,"They produce nothing I can eat, wear, live in.","Think about all the things you can't ""eat, wear, or live in"".",2.2
d93a3847-2b5e-42f4-88d9-6228a6939050,"Kadyrov was not injured, but four of his bodyguards were among those killed.",But Itar-Tass news agency said four of his bodyguards were among those killed by the bomb.,3.0
8a64456d-ed7d-40b5-b9c5-9d3b316f63d8,Officials: Romney to get Secret Service protection,Obama addresses Secret Service scandal,0.6
311d80bc-382b-48bb-8c31-2a0457f45158,Israeli Leader Puts Off Evicting Settlers From Hebron House,Israeli army orders settlers out of Hebron house,1.6
ac1ec0d5-4def-4f72-a0cf-53fc88b11aec,Swiss tourist 'gang-raped' in India,"Swiss tourist gang raped in India, say police",5.0
c3a842ee-d5fc-45ae-be5f-f39b0bf1f126,A dog shaking off water.,A dog shaking water off.,5.0
dbec28c1-831a-4f48-9439-b515c6d16c13,But skeptics are concerned about the ease with which vendors can use these hardware-based security features to set digital rights management policies.,But skeptics are concerned about the ease at which these hardware-based security features could be used to set digital rights management policies by vendors.,5.0
